index,analog,restored
694,-9.81846,-9
695,-8.45615,-9
696,-6.94931,-7
697,-5.32192,-5
698,-3.60116,-3
699,-1.81672,-1
700,1.13704e-13,1
701,1.81672,1
702,3.60116,3
703,5.32192,5
704,6.94931,7
705,8.45615,9
706,9.81846,9
707,11.0161,11
708,12.0333,13
709,12.8587,13
710,13.4863,13
711,13.9146,13
712,14.1471,15
713,14.1921,15
714,14.0618,15
715,13.7725,13
716,13.3434,13
717,12.7963,13
718,12.1548,13
719,11.4432,11
720,10.6861,11
721,9.90769,9
722,9.13051,9
723,8.37527,9
724,7.66007,7
725,7,7
726,6.40674,7
727,5.88837,5
728,5.44927,5
729,5.09016,5
730,4.80828,5
731,4.59769,5
732,4.44963,5
733,4.35306,5
734,4.29514,5
735,4.26194,5
736,4.23896,5
737,4.21182,5
738,4.16688,5
739,4.09172,5
740,3.97574,3
741,3.81048,3
742,3.58998,3
743,3.31098,3
744,2.97299,3
745,2.57829,3
746,2.13177,3
747,1.64067,1
748,1.11426,1
749,0.563383,1
750,5.87459e-15,1
751,-0.563383,-1
752,-1.11426,-1
753,-1.64067,-1
754,-2.13177,-3
755,-2.57829,-3
756,-2.97299,-3
757,-3.31098,-3
758,-3.58998,-3
759,-3.81048,-3
760,-3.97574,-3
761,-4.09172,-5
762,-4.16688,-5
763,-4.21182,-5
764,-4.23896,-5
765,-4.26194,-5
766,-4.29514,-5
767,-4.35306,-5
768,-4.44963,-5
769,-4.59769,-5
770,-4.80828,-5
771,-5.09016,-5
772,-5.44927,-5
773,-5.88837,-5
774,-6.40674,-7
775,-7,-7
776,-7.66007,-7
777,-8.37527,-9
778,-9.13051,-9
779,-9.90769,-9
780,-10.6861,-11
781,-11.4432,-11
782,-12.1548,-13
783,-12.7963,-13
784,-13.3434,-13
785,-13.7725,-13
786,-14.0618,-15
787,-14.1921,-15
788,-14.1471,-15
789,-13.9146,-13
790,-13.4863,-13
791,-12.8587,-13
792,-12.0333,-13
793,-11.0161,-11
794,-9.81846,-9
795,-8.45615,-9
796,-6.94931,-7
797,-5.32192,-5
798,-3.60116,-3
799,-1.81672,-1
800,-5.68236e-14,-1
801,1.81672,1
802,3.60116,3
803,5.32192,5
804,6.94931,7
805,8.45615,9
806,9.81846,9
807,11.0161,11
808,12.0333,13
809,12.8587,13
810,13.4863,13
811,13.9146,13
812,14.1471,15
813,14.1921,15
814,14.0618,15
815,13.7725,13
816,13.3434,13
817,12.7963,13
818,12.1548,13
819,11.4432,11
820,10.6861,11
821,9.90769,9
822,9.13051,9
823,8.37527,9
824,7.66007,7
825,7,7
826,6.40674,7
827,5.88837,5
828,5.44927,5
829,5.09016,5
830,4.80828,5
831,4.59769,5
832,4.44963,5
833,4.35306,5
834,4.29514,5
835,4.26194,5
836,4.23896,5
837,4.21182,5
838,4.16688,5
839,4.09172,5
840,3.97574,3
841,3.81048,3
842,3.58998,3
843,3.31098,3
844,2.97299,3
845,2.57829,3
846,2.13177,3
847,1.64067,1
848,1.11426,1
849,0.563383,1
850,2.93952e-14,1
851,-0.563383,-1
852,-1.11426,-1
853,-1.64067,-1
854,-2.13177,-3
855,-2.57829,-3
856,-2.97299,-3
857,-3.31098,-3
858,-3.58998,-3
859,-3.81048,-3
860,-3.97574,-3
861,-4.09172,-5
862,-4.16688,-5
863,-4.21182,-5
864,-4.23896,-5
865,-4.26194,-5
866,-4.29514,-5
867,-4.35306,-5
868,-4.44963,-5
869,-4.59769,-5
870,-4.80828,-5
871,-5.09016,-5
872,-5.44927,-5
873,-5.88837,-5
874,-6.40674,-7
875,-7,-7
876,-7.66007,-7
877,-8.37527,-9
878,-9.13051,-9
879,-9.90769,-9
880,-10.6861,-11
881,-11.4432,-11
882,-12.1548,-13
883,-12.7963,-13
884,-13.3434,-13
885,-13.7725,-13
886,-14.0618,-15
887,-14.1921,-15
888,-14.1471,-15
889,-13.9146,-13
890,-13.4863,-13
891,-12.8587,-13
892,-12.0333,-13
893,-11.0161,-11
894,-9.81846,-9
895,-8.45615,-9
896,-6.94931,-7
897,-5.32192,-5
898,-3.60116,-3
899,-1.81672,-1
900,1.42131e-13,1
901,1.81672,1
902,3.60116,3
903,5.32192,5
904,6.94931,7
905,8.45615,9
906,9.81846,9
907,11.0161,11
908,12.0333,13
909,12.8587,13
910,13.4863,13
911,13.9146,13
912,14.1471,15
913,14.1921,15
914,14.0618,15
915,13.7725,13
916,13.3434,13
917,12.7963,13
918,12.1548,13
919,11.4432,11
920,10.6861,11
921,9.90769,9
922,9.13051,9
923,8.37527,9
924,7.66007,7
925,7,7
926,6.40674,7
927,5.88837,5
928,5.44927,5
929,5.09016,5
930,4.80828,5
931,4.59769,5
932,4.44963,5
933,4.35306,5
934,4.29514,5
935,4.26194,5
936,4.23896,5
937,4.21182,5
938,4.16688,5
939,4.09172,5
940,3.97574,3
941,3.81048,3
942,3.58998,3
943,3.31098,3
944,2.97299,3
945,2.57829,3
946,2.13177,3
947,1.64067,1
948,1.11426,1
949,0.563383,1
950,5.29159e-14,1
951,-0.563383,-1
952,-1.11426,-1
953,-1.64067,-1
954,-2.13177,-3
955,-2.57829,-3
956,-2.97299,-3
957,-3.31098,-3
958,-3.58998,-3
959,-3.81048,-3
960,-3.97574,-3
961,-4.09172,-5
962,-4.16688,-5
963,-4.21182,-5
964,-4.23896,-5
965,-4.26194,-5
966,-4.29514,-5
967,-4.35306,-5
968,-4.44963,-5
969,-4.59769,-5
970,-4.80828,-5
971,-5.09016,-5
972,-5.44927,-5
973,-5.88837,-5
974,-6.40674,-7
975,-7,-7
976,-7.66007,-7
977,-8.37527,-9
978,-9.13051,-9
979,-9.90769,-9
980,-10.6861,-11
981,-11.4432,-11
982,-12.1548,-13
983,-12.7963,-13
984,-13.3434,-13
985,-13.7725,-13
986,-14.0618,-15
987,-14.1921,-15
988,-14.1471,-15
989,-13.9146,-13
990,-13.4863,-13
991,-12.8587,-13
992,-12.0333,-13
993,-11.0161,-11
994,-9.81846,-9
995,-8.45615,-9
996,-6.94931,-7
997,-5.32192,-5
998,-3.60116,-3
999,-1.81672,-1
