index,analog,digital
253,2.54511e-13,3.59846
254,1.0844e-13,2.35114
255,3.34671e-13,4
256,1.61451e-13,3.23607
257,4.18316e-13,6.41581
258,1.5431e-13,3.80423
259,2.78716e-13,8.23223
260,0.00214909,20.2351
261,2.78716e-13,8.23223
262,7.68527e-14,3.80423
263,4.18316e-13,6.41581
264,1.61451e-13,3.23607
265,3.34671e-13,4
266,1.04261e-13,2.35114
267,2.54511e-13,3.59846
268,5.27042e-14,1.23607
269,2.14999e-13,4.70308
270,2.76003e-05,77.6981
271,2.14999e-13,4.70308
272,9.97034e-14,1.23607
273,2.54511e-13,3.59846
274,1.49628e-13,2.35114
275,3.34671e-13,4
276,1.52204e-13,3.23607
277,4.18316e-13,6.41581
278,9.55729e-14,3.80423
279,2.78716e-13,8.23223
280,0.00270624,8.65896
281,2.78716e-13,8.23223
282,6.59261e-14,3.80423
283,4.18316e-13,6.41581
284,1.61227e-13,3.23607
285,3.34671e-13,4
286,1.13675e-13,2.35114
287,2.54511e-13,3.59846
288,9.97034e-14,1.23607
289,2.14999e-13,4.70308
290,0.0027721,57.9101
291,2.14999e-13,4.70308
292,1.1312e-13,1.23607
293,2.54511e-13,3.59846
294,5.83515e-14,2.35114
295,3.34671e-13,4
296,1.61451e-13,3.23607
297,4.18316e-13,6.41581
298,1.2189e-14,3.80423
299,2.78716e-13,8.23223
300,0.000648279,76.1896
301,2.78716e-13,8.23223
302,6.8297e-14,3.80423
303,4.18316e-13,6.41581
304,1.61451e-13,3.23607
305,3.34671e-13,4
306,1.13336e-13,2.35114
307,2.54511e-13,3.59846
308,1.47196e-13,1.23607
309,2.14999e-13,4.70308
310,0.00071324,47.7066
311,2.14999e-13,4.70308
312,9.97034e-14,1.23607
313,2.54511e-13,3.59846
314,7.5411e-14,2.35114
315,3.34671e-13,4
316,1.92505e-13,3.23607
317,4.18316e-13,6.41581
318,5.89065e-14,3.80423
319,2.78716e-13,8.23223
320,6.21086e-05,32.0201
321,2.78716e-13,8.23223
322,8.43761e-14,3.80423
323,4.18316e-13,6.41581
324,1.76806e-13,3.23607
325,3.34671e-13,4
326,1.42496e-13,2.35114
327,2.54511e-13,3.59846
328,9.97034e-14,1.23607
329,2.14999e-13,4.70308
330,0.000934957,48.3765
331,2.14999e-13,4.70308
332,8.80208e-14,1.23607
333,2.54511e-13,3.59846
334,7.18593e-14,2.35114
335,3.34671e-13,4
336,1.61451e-13,3.23607
337,4.18316e-13,6.41581
338,9.17915e-14,3.80423
339,2.78716e-13,8.23223
340,0.000517351,90.9288
341,2.78716e-13,8.23223
342,1.50051e-13,3.80423
343,4.18316e-13,6.41581
344,1.61451e-13,3.23607
345,3.34671e-13,4
346,1.3372e-13,2.35114
347,2.54511e-13,3.59846
348,1.11976e-13,1.23607
349,2.14999e-13,4.70308
